year,month,day,event,start,end
2010,01,01,XRA,1202,1218
2010,01,01,XRA,1233,1300
2010,01,01,XRA,2329,2342
2010,01,02,XRA,310,319
2010,01,02,XRA,709,740
2010,01,02,FLA,721,746
2010,01,02,XRA,758,813
2010,01,02,FLA,803,811
2010,01,02,RSP,858,859
2010,01,02,XRA,901,923
2010,01,02,FLA,905,921
2010,01,02,RSP,957,957
2010,01,02,RSP,1115,1118
2010,01,02,XRA,1159,1224
2010,01,02,XRA,1408,1424
2010,01,02,RSP,1558,1604
2010,01,02,XRA,2239,2255
2010,01,02,FLA,2241,2259
2010,01,02,XRA,2257,2335
2010,01,02,FLA,2301,0
2010,01,02,RSP,2318,2319
2010,01,03,RSP,38,38
2010,01,03,XRA,117,131
2010,01,03,FLA,120,155
2010,01,03,XRA,353,421
2010,01,03,RBR,551,552
2010,01,03,RSP,613,613
2010,01,03,XRA,743,754
2010,01,03,XRA,1050,1109
2010,01,03,XRA,1201,1228
2010,01,03,XRA,1443,1451
2010,01,03,XRA,1529,1541
2010,01,03,XRA,1552,1613
2010,01,03,FLA,1601,1611
2010,01,03,RSP,1733,1733
2010,01,03,XRA,1859,1904
2010,01,03,XRA,2043,2058
2010,01,03,FLA,2047,2051
2010,01,04,XRA,336,342
2010,01,04,FLA,339,346
2010,01,04,XRA,1000,1008
2010,01,04,XRA,1424,1435
2010,01,04,XRA,1951,2002
2010,01,04,XRA,2014,2027
2010,01,04,RSP,2155,2155
2010,01,04,RSP,2244,2244
2010,01,04,RSP,2246,2246
2010,01,05,RSP,433,433
2010,01,05,XRA,846,857
2010,01,05,RBR,933,935
2010,01,05,RSP,934,934
2010,01,05,XRA,953,1002
2010,01,06,XRA,257,307
2010,01,06,XRA,1628,1638
2010,01,06,XRA,1640,1647
2010,01,06,XRA,1944,1957
2010,01,07,XRA,2123,2135
2010,01,08,XRA,1742,1749
2010,01,09,XRA,606,613
2010,01,09,XRA,746,800
2010,01,09,XRA,840,856
2010,01,09,RBR,1012,1012
2010,01,09,RBR,1018,1019
2010,01,09,RBR,1053,1054
2010,01,09,XRA,1107,1124
2010,01,09,XRA,1241,1257
2010,01,09,XRA,1450,1519
2010,01,09,XRA,2224,2323
2010,01,10,FLA,9,11
2010,01,10,XRA,27,45
2010,01,10,FLA,115,128
2010,01,10,FLA,129,147
2010,01,10,XRA,140,308
2010,01,10,FLA,152,319
2010,01,10,FLA,321,331
2010,01,10,XRA,1152,1201
2010,01,10,XRA,1539,1545
2010,01,10,RSP,1645,1646
2010,01,10,XRA,1756,1807
2010,01,10,XRA,2252,2304
2010,01,11,XRA,141,153
2010,01,11,XRA,155,202
2010,01,11,XRA,448,505
2010,01,11,XRA,605,634
2010,01,11,XRA,800,811
2010,01,11,XRA,908,913
